"flower_id","flower_name","file","source_url","photographer","downloaded_at","license_note"
"101","ラナンキュラス","images/flowers/v7/101.jpg","https://www.pexels.com/photo/a-close-up-of-a-ranunculus-flower-11384415/","","2026-04-15","Pexels License"
"102","ストレリチア","images/flowers/v7/102.jpg","https://www.pexels.com/photo/strelitzia-bird-of-paradise-houseplant-10975125/","","2026-04-15","Pexels License"
"103","キンセンカ","images/flowers/v7/103.jpg","https://www.pexels.com/photo/vibrant-yellow-calendula-flower-in-bloom-33642613/","","2026-04-15","Pexels License"
"104","ブーゲンビリア","images/flowers/v7/104.jpg","https://www.pexels.com/photo/bougainvillea-flowers-in-close-up-photography-8756609/","","2026-04-15","Pexels License"
"105","アリウム","images/flowers/v7/105.jpg","https://www.pexels.com/photo/vibrant-close-up-of-purple-allium-buds-36343200/","","2026-04-15","Pexels License"
"106","ハルジオン","images/flowers/v7/106.jpg","https://www.pexels.com/photo/erigeron-annuus-in-close-up-photography-13629169/","","2026-04-15","Pexels License"
"107","エーデルワイス","images/flowers/v7/107.jpg","https://www.pexels.com/photo/edelweiss-flower-in-alpine-landscape-35333239/","","2026-04-15","Pexels License"
"108","サンダーソニア","images/flowers/v8/108.jpg","https://images.pexels.com/photos/35569222/pexels-photo-35569222.jpeg","","2026-04-15","Pexels License"
"109","リシマキア","images/flowers/v7/109.jpg","https://www.pexels.com/photo/close-up-of-bright-yellow-lysimachia-flowers-32255126/","","2026-04-15","Pexels License"
"110","マンサク","images/flowers/v7/110.jpg","https://www.pexels.com/photo/close-up-of-bright-yellow-witch-hazel-blossoms-31970219/","","2026-04-15","Pexels License"
"111","ロウバイ","images/flowers/v7/111.jpg","https://www.pexels.com/photo/wintersweet-blossoms-with-traditional-chinese-architecture-30318825/","","2026-04-15","Pexels License"
"112","オキザリス","images/flowers/v7/112.jpg","https://www.pexels.com/photo/close-up-of-a-blooming-purple-oxalis-flower-36760557/","","2026-04-15","Pexels License"
"113","セツブンソウ","images/flowers/v8/113.jpg","https://images.pexels.com/photos/35461880/pexels-photo-35461880.jpeg","","2026-04-15","Pexels License"
"114","ユキヤナギ","images/flowers/v7/114.jpg","https://www.pexels.com/photo/close-up-of-blooming-white-spirea-flowers-36738212/","","2026-04-15","Pexels License"
"115","ナデシコ","images/flowers/v7/115.jpg","https://www.pexels.com/photo/bright-pink-dianthus-flower-close-up-outdoors-32299684/","","2026-04-15","Pexels License"
"116","カランコエ","images/flowers/v7/116.jpg","https://www.pexels.com/photo/close-up-of-vibrant-pink-kalanchoe-blossoms-34620693/","","2026-04-15","Pexels License"
"117","ニゲラ","images/flowers/v7/117.jpg","https://www.pexels.com/photo/close-up-of-nigella-flower-buds-in-nature-32202345/","","2026-04-15","Pexels License"
